-891.76,-825.34,-809.48,-830.68,-816.31,-720.67,-660.98,-671.3,-671.3,-710.68,-745.41,-711.6,-686.77,-733.69,-799.69,-823.57,-876.58,-887.83,-903.75,0
-800.69,-848.1,-814.73,-786.03,-730.79,-668.63,-636.55,-657.15,-657.15,-704.85,-738.25,-737.88,-646.77,-626.2,-689.77,-775.74,-852.75,-889.77,-931.4,0
-958.52,-873.81,-838.69,-820.14,-764.61,-743.58,-681.88,-657.99,-657.99,-701.77,-744.68,-785.88,-804.88,-853.11,-852.08,-881.16,-878.37,-915.78,-891.17,0
-869.36,-842.36,-795.39,-752.58,-723.69,-696.03,-690.94,-733.9,-733.9,-779.32,-811.97,-810.72,-815.48,-818.62,-851.18,-883.62,-920.36,-913.26,-961.41,0
-814.32,-825.61,-834.84,-804.51,-765.2,-748.04,-824.27,-852.73,-852.73,-804.68,-797,-844.33,-884.99,-894.61,-996.99,-981.18,-896.54,-874.74,-874.64,0
-875.51,-882.57,-846.83,-866.58,-832.55,-839.18,-898.04,-866.3,-866.3,-868,-916.09,-971.67,-937.96,-953.94,-977.85,-974.08,-994.08,-1012.3,-973.12,0
-784.77,-829.59,-838.02,-829.16,-808.19,-807.45,-806.35,-827.85,-827.85,-794.74,-775.46,-818.02,-894.49,-918.46,-944.48,-978.51,-1019.4,-1009.9,-1001.2,0
-783.29,-789.68,-809.52,-827.98,-807.57,-798.44,-797.43,-833.87,-833.87,-880.11,-813.19,-778.42,-766.01,-801.06,-885.47,-935,-976.18,-1010.9,-977.52,0
-865.54,-862.31,-880.83,-871.56,-882.31,-898.8,-867.07,-852.15,-852.15,-875.21,-899.08,-904.14,-942.25,-965.35,-1001.1,-1049.8,-1014.2,-992.32,-1023.3,0
-835.38,-824.38,-847.33,-870.58,-854.62,-841.82,-857.73,-816.94,-816.94,-767.58,-741.09,-749.32,-778.53,-800.07,-885.53,-932.47,-949.78,-959.22,-923.58,0
-884.16,-910.67,-930.67,-914.17,-858.64,-823.24,-842.65,-908.96,-908.96,-939.83,-918.99,-868.75,-843.22,-875.48,-920,-980.78,-1020.9,-966.03,-973.56,0
-873.73,-844.46,-782.63,-803.54,-838.74,-876.71,-873.15,-925.63,-925.63,-978.45,-900.98,-872.12,-834.79,-848.78,-847.36,-881.46,-911.84,-956.47,-975.19,0
-920.76,-894.61,-814.31,-802.94,-790.61,-820.12,-769.49,-791.66,-791.66,-863.61,-1001.7,-965.82,-919.45,-907.35,-939.72,-951.75,-983.28,-1011.2,-1062.4,0
-859.25,-829.71,-889.49,-851.08,-828.75,-823.52,-773.57,-729.94,-729.94,-702.99,-676.62,-664.81,-714.04,-796.6,-856.02,-892.74,-947.59,-998.42,-1028.7,0
-819.28,-818.14,-830.05,-811.74,-781.39,-801.07,-817.78,-787.4,-787.4,-716.83,-672.25,-698.74,-781.37,-863.42,-921.57,-944.17,-919.07,-962.48,-1013.3,0
-875.53,-889.7,-867.73,-835.66,-810.03,-784.39,-798.8,-817.19,-817.19,-817.15,-765.48,-748.31,-751.4,-788.15,-852.68,-909.5,-889.4,-828.6,-821.7,0
-974.43,-980.71,-926.75,-915.64,-919.39,-856.29,-843.71,-854.28,-854.28,-854.29,-870.74,-915.67,-943.1,-950.27,-921.1,-911.85,-875.25,-891.21,-917.01,0
-946.99,-976.93,-972.67,-948.7,-925.78,-962.49,-986.51,-1031.4,-1031.4,-956.48,-982.4,-960.29,-957.54,-971.32,-987.63,-1003.4,-1041.2,-1011.2,-987.28,0
-958.71,-976.74,-984.43,-972.02,-962.26,-979.8,-954.8,-941.42,-941.42,-914.38,-910.91,-926.29,-942.1,-961.47,-983.53,-972.63,-950.81,-954.93,-996.67,0
-966.84,-944.44,-921.82,-927.75,-894.28,-911.06,-939.76,-939.71,-939.71,-923.55,-930.6,-945.1,-975.19,-1011.9,-1007.8,-1006.6,-1021.5,-1016.4,-1016.2,0
-918.18,-909.75,-871.3,-862.25,-822.23,-810.24,-837.01,-901.66,-901.66,-875.26,-832.73,-819.22,-846.71,-934.29,-1010.8,-977.8,-975.28,-1000.7,-974.28,0
-952.1,-970.34,-1013.8,-971.66,-903.61,-959.54,-913.69,-848.81,-848.81,-851.92,-905.93,-927.3,-938.53,-1015.2,-1018.6,-1010.5,-1015.3,-990.1,-985.49,0
